path,modality,vocal_channel,channel_label,emotion,emotion_label,intensity,statement,repetition,actor,gender
C:\Users\Grana\Documents\GitHub\Project_CSE432_MG\Project_CSE432-532\SER_Project\data\Audio_Song_Actors_01-24\Actor_01\03-02-01-01-01-01-01.wav,3,2,song,1,neutral,1,1,1,1,male
C:\Users\Grana\Documents\GitHub\Project_CSE432_MG\Project_CSE432-532\SER_Project\data\Audio_Song_Actors_01-24\Actor_01\03-02-01-01-01-02-01.wav,3,2,song,1,neutral,1,1,2,1,male
C:\Users\Grana\Documents\GitHub\Project_CSE432_MG\Project_CSE432-532\SER_Project\data\Audio_Song_Actors_01-24\Actor_01\03-02-01-01-02-01-01.wav,3,2,song,1,neutral,1,2,1,1,male
C:\Users\Grana\Documents\GitHub\Project_CSE432_MG\Project_CSE432-532\SER_Project\data\Audio_Song_Actors_01-24\Actor_01\03-02-01-01-02-02-01.wav,3,2,song,1,neutral,1,2,2,1,male
C:\Users\Grana\Documents\GitHub\Project_CSE432_MG\Project_CSE432-532\SER_Project\data\Audio_Song_Actors_01-24\Actor_01\03-02-02-01-01-01-01.wav,3,2,song,2,calm,1,1,1,1,male
C:\Users\Grana\Documents\GitHub\Project_CSE432_MG\Project_CSE432-532\SER_Project\data\Audio_Song_Actors_01-24\Actor_01\03-02-02-01-01-02-01.wav,3,2,song,2,calm,1,1,2,1,male
C:\Users\Grana\Documents\GitHub\Project_CSE432_MG\Project_CSE432-532\SER_Project\data\Audio_Song_Actors_01-24\Actor_01\03-02-02-01-02-01-01.wav,3,2,song,2,calm,1,2,1,1,male
C:\Users\Grana\Documents\GitHub\Project_CSE432_MG\Project_CSE432-532\SER_Project\data\Audio_Song_Actors_01-24\Actor_01\03-02-02-01-02-02-01.wav,3,2,song,2,calm,1,2,2,1,male
C:\Users\Grana\Documents\GitHub\Project_CSE432_MG\Project_CSE432-532\SER_Project\data\Audio_Song_Actors_01-24\Actor_01\03-02-02-02-01-01-01.wav,3,2,song,2,calm,2,1,1,1,male
C:\Users\Grana\Documents\GitHub\Project_CSE432_MG\Project_CSE432-532\SER_Project\data\Audio_Song_Actors_01-24\Actor_01\03-02-02-02-01-02-01.wav,3,2,song,2,calm,2,1,2,1,male
C:\Users\Grana\Documents\GitHub\Project_CSE432_MG\Project_CSE432-532\SER_Project\data\Audio_Song_Actors_01-24\Actor_01\03-02-02-02-02-01-01.wav,3,2,song,2,calm,2,2,1,1,male
